id_venda,cliente,cidade,categoria,produto,quantidade,preco_unitario,forma_pagamento,status
10001,Karen,São Paulo,Eletrônicos,Monitor,5.0,1218.34,Boleto,Concluída
10002,Thiago,Curitiba,Casa,Jogo de Cama,6.0,238.88,Cartão,Concluída
10003,Daniela,Belo Horizonte,Casa,Panela,-1.0,,,Concluída
10004,Nicolas,Brasília,Casa,Panela,1.0,156.45,Dinheiro,Concluída
10005,Isabela,Curitiba,eletrônicos,Monitor,5.0,1255.33,Dinheiro,Concluída
10006,Lucas,Curitiba,Esportes,Bola,3.0,103.58,Cartão,Concluída
10007,Eduardo,Brasília,livros,Ficção,3.0,61.6,PIX,Concluída
10008,Diego,Belo Horizonte,Esportes,Bola,4.0,119.13,Cartão,Concluída
10009,Valentina,São Paulo,Livros,Administração,2.0,90.11,PIX,Cancelada
10010,João,Rio de Janeiro,Casa,Jogo de Cama,6.0,206.03,Boleto,Concluída
10011,Ana,Salvador,Livros,Romance,6.0,65.16,Boleto,Concluída
10012,Lucas,São Paulo,Roupas,Jaqueta,4.0,285.77,Cartão,Concluída
10013,Lucas,São Paulo,Casa,Aspirador,5.0,611.74,Dinheiro,Concluída
10014,Nicolas,Porto Alegre,Casa,Cafeteira,1.0,329.41,Cartão,Concluída
10015,João,são paulo,Livros,Tecnologia,2.0,99.54,Cartão,Concluída
10016,Henrique,São Paulo,Livros,Tecnologia,7.0,94.37,Boleto,Cancelada
10017,João,Belo Horizonte,Livros,Ficção,3.0,71.12,Cartão,Concluída
10018,Sofia,Salvador,Eletrônicos,Notebook,6.0,3459.97,Cartão,Concluída
10019,Rafael,Rio de Janeiro,Livros,Romance,4.0,59.03,PIX,Concluída
10020,Isabela,Belo Horizonte,Esportes,Halteres,5.0,219.07,Cartão,Pendente
10021,Rafael,Salvador,Roupas,Vestido,4.0,204.55,Dinheiro,Concluída
10022,Karen,São Paulo,Roupas,Jaqueta,6.0,260.87,Cartão,Pendente
10023,Elisa,Salvador,Eletrônicos,Fone Bluetooth,5.0,263.7,Boleto,Concluída
10024,Thiago,Porto Alegre,Casa,Jogo de Cama,1.0,234.48,PIX,Concluída
10025,Pedro,Salvador,Eletrônicos,Fone Bluetooth,1.0,245.09,PIX,Concluída
10026,Henrique,Porto Alegre,Eletrônicos,Fone Bluetooth,2.0,250.14,Cartão,Concluída
10027,Daniela,Curitiba,Esportes,Bola,3.0,122.92,PIX,Concluída
10028,Eduardo,Curitiba,Roupas,Camiseta,2.0,79.58,dinheiro,Concluída
10029,Lucas,Rio de Janeiro,Roupas,Tênis,5.0,362.03,Boleto,Concluída
10030,Henrique,Salvador,Livros,Tecnologia,7.0,90.56,PIX,Concluída
10031,Caio,Belo Horizonte,Roupas,Vestido,1.0,196.26,Boleto,Concluída
10032,Gabriela,Salvador,Esportes,Halteres,1.0,261.96,Boleto,Concluída
10033,Caio,Rio de Janeiro,Roupas,Camiseta,5.0,73.53,cartão,Concluída
10034,Valentina,Brasília,Casa,Panela,3.0,196.65,PIX,Pendente
10035,Marina,Brasília,Esportes,Bicicleta,5.0,1390.18,Dinheiro,Concluída
10036,Karen,Rio de Janeiro,Casa,Liquidificador,3.0,286.93,Dinheiro,Concluída
